,review,ac_P1,air_minum_P1,air_panas_P1,airy_internal,bau_P1,bising,breakfast,fasilitas,fasilitas_inroom,fasilitas_non_inroom,fisik_bangunan,handuk_P1,kebersihan,kebersihan_inroom_P1,kebersihan_non_inroom,linen_P1,lokasi,marketing_false,overall,perlengkapan_mandi_P1,rusak,serangga,service,service_front_office,service_house_keeping,service_security,sunrise_meal_P1,tidak_sesuai_pesanan,tv_P1,wifi_P1
23,"keadaan real tidak sesuai gambar. apalagi setelah pagi2, pintu kamu dibuka dari luar oleh petugas. saya tidak mengerti apakah itu disengaja atau tidak, yg jelas kami akhirnya check out jam 10 pagi.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,"This place quite good with the price we spent, the room was clean, just the bed sheet not really clean, I don't know  they washed it not really clean or they didn't change the sheet either and some leaking mark on the wall and on the ceiling, they need to do some work/ repair on those area. Bathroom have hot water with good amenities in good package. Aircond and wifi was so good. Stay in room 102.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Dengan harga minimalis bisa diterima apabila kamar kecil, Tv tabung 14"" dgn gambar yg penuh semut & berwarna merah & sarapan alakadarx.. Namun yg membuat sya cek out lebih cepat 1 hari adalah kamar mandi yang bau kecoak.. Sungguh bikin tidak nyaman",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Terlalu ketat penjagaan udah kayak tahanan penjara kamar mandi kotor tmpt ny tidak nyaman sekali ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,kami tidak mendapatkan kamar pesanan airy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,"Tanggal 11-12 saya dengan 7 org teman menginap di sini, booking 4 kamar Kesan pertama nyamaan, senang karna dengan harga yg cukup terjangkau saya dapat fasilitas yg cukup, akan tetapi hal yg tidak diinginkan terjadi, saya dan beberapa rekan saya, kehilangan uang total kurang lebih 1000.000, kehilangan terjadi di 2 kamar, kamar 206 dan 214, jam 8 pagi hari tgl 12 kita keluar untuk menghadiri akhad, jam 11 kita balik lg cuman belum sadar kalau uangnya hilang, baru sadar waktu sudah checkout.. Sudah komplain dan dari pihak kami tidak ingin memperpanjang.. Dan yg sangat di sayangkan tidak adanya CCTV di hotel Pia cirebon..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,"kamar nya bau, satpam nya kasar, resepsionisnya tidak ramah, wifi nya tidak connect",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
30,"tv, ac, toilet tidak memadai. sprei tempat tidur tidak bersih. ",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,Seprei kasur kotor banyak rambut. Gak bersih Siaran TV jelek sekali banyak semut. Sikat gigi dan odol dua tapi handuk cuma satu.. ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,pemilik tidak memberikan kenyamanan... pagi2 sudah teriak2... pelayanannya kaku...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,"staf kurang ramah,tempat kurang rapi,waktu saya nginap ada tamu lain berantem dihotel,tp pihak hotel diam aja,mrka berantem diaamping kaar saya,teriak kencang2 sehingga saya ngga nyaman,akhir sayan cuma stngah hari disana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,"wifinya ga bisa, kamar ok pelayanan ok",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,snack kamar tidak tersedia saat saya menginap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,"toiletnya kurang bersih,bau",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Sy sdh beli tiket ke lombok, namun bbrp hari sblm berangkat di bln agustus, lombok terkena gempa bbrp kali dan pemerintah masih menetapkan status ""siaga"" sampai hari sy akan berangkat. Krn itu, sy membatalkan keberangkatan dan meminta refund hotel. Utk hotel lain pun sy melakukan hal yg sama, walaupun di kebijakan pemesanannya hotel tdk dpt di batalkan, namun krn gempa bumi, uang dpt di hotel tsb dpt di refund 100% dan prosesnya tdk bertele-tele.  Di Airy, prosesnya bertele-tele, dan uang kami tdk bs dikembalikan dgn alasan bangunan hotel msh berdiri kokoh stlh gempa sblmnya. Dan ternyata 2 hari stlhnya lombok kembali gempa 2x. Sy sgt kecewa dgn pelayanan & solusi dr hotel atas masalah ini. Pemerintah menetapkan status ""siaga"" namun pihak hotel tdk menghiraukan. Not recommended hotel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"kamarnya bersih! fasilitas dlm kmr lengkap, kmr selalu dibersihkan, bisa late check in pula. dekat penginapan ada beberapa pilihan kuliner. namun sayang dpt kmr lt. atas saat lift tdk beroperasi, & AC kmr bocor, airnya merembes ke tirai hingga menetes ke lantai kmr, tempat sampah hanya 1, & langit2 kmr mandi bolong (jd agak insecure hehe)",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Tidak sesuai dengan yang di foto. Tidk rekomendasi, tidak seperti airy di tempat lainnya.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,Ada kecoa di lantai kamar :(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,"kamar mandinya licin :( lantainya gak bersih lagi , AC nya berisik banget :( ",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,murah dan dekat dr mana saja. namun kasurnya ternyata sudah rapuh. ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,The location was good but litle bit dirty in my room..,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"cukup nyaman, sesuai dg harganya. tapi sayang.... selimutnya kurang bersih/agak bau ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Fasilitas ya kurang...misal ya kaca hias gak ada, sabun mandi tdk tersedia kurang tersedia ya minuman mineral..",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,cukup bersih tapu seharusnya tidak ada bau asap rokok di kamar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,"Murah sih murah, tapi kamar mandinya aja lampunya rusak. Tidak menyala. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Toilet kotor...area pantry kotor, air keluar kecil..",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"untuk harga minimalis cocok la, cuma lantai lengket, kasur lembab, pintu kmr mandi dan lemari rusak dikit. air hangatny pas pagi mati. overall oke",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,"Lokasi hotel sangat strategis, dekat dengan tempat makan. Namun beberapa hal yang mengecewakan adalah handuk yang disediakan basah (seperti bekas pakai tamu sebelumnya, handuk ini tidak diganti selama saya menginap disana 3 hari), sprei kotor ada banyak semut di tempat tidur. Di kamar mandi dan kamar tidur banyak semut. Pada hari kedua pagi saya minta petugas untuk membersihkan kamar, tapi tidak dibersihkan. Sore hari saat saya ke kamar ada banyak semut dan telur2 semut, saya meminta bantuan petugas untuk membersihkan tapi tidak direspon malah saya disuruh membersihkan kamar sendiri dan diberi aerosol. Pelayanan sangat tidak memuaskan.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
51,"Resepsionis yang rambutnya di cat putih payah, ngga ada senyum sama sekali ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,Tempatnya bagus.. Deket dari mana aj.. tapi alamat yg dicantumkan salah.. harusnya diberikan patokan yg lebih jelas..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"AC nya kurang dingin
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,AC nya panas. Kamarnya kurang nyaman juga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ac nya bocor... hrs pake deposit 50rb.. kamar jd becek.. selimutnya tipis bngt.. ttg tmpt si boleh lah...strategis.. ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"sprei bercak2 hitam, gatal2, banyak semut, sedang mandi air mati, sayang saya lupa tidak mengambil fotonya. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Kasurnya seperti tidak dibersihkan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"ac di kamar kurang dingin walaupun sudah 16°c, dan sprei nya gatal .. kurang bersih",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"saya tidak nginap di sini stelah sy bayar.  sangat mengecewakan bahwa sy datang ke sana dn tidak ada pihak hotel yg merespon, sy sudah bayar. !! ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,"ac tidak dingin, remote tv sedikit rusak, wifi sinyal jelek",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
61,"Tempatnya bagus, bersih, nyaman, petugas n ownernya ramah... Kamar seperti di gambar... Cuma sayangnya banyak nyamuk... ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,Ac nya rusak n kurang dingin ampe 3 x pindah. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"positif: Lokasi strategis.. dari semua airy hotel yang pernah saya kunjungi.. cuma disini kamar tidur dibersihkan setiap hari.. handuk di ganti setiap hari.. camilan, air minum dan perlengkapan mandi dikasih setiap hari, jadi selama 3 hari disana saya dapat cemilan, air minum, perlengkapan mandi 3 set.. petugas ramah.. lokasi strategis.. di sekitar hotel juga banyak yang jual makanan.. overall oke banget buat harga segitu.. kebersihan memang benar2 dijaga.. recommended banget deh..  negatif: krn ga ada lift, jadi harus naik tangga.. waktu pertama kali datang, saya angkut tas ransel dan koper sendiri ke lantai 3.. padahal petugasnya melihat saya terengah2 berhenti di setiap tangga per lantai krn keberatan angkut barang tapi tetap ga dibantuin.. air panas nya ga hidup.. di area meja ga ada lampu.. jadi mau kerja juga ga bisa karena agak gelap..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,"pelayanan baik. fasilitas baik. 
cuma ac kurang dingin.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Hotelnya tidak sesuai dengan foto,banyak nyamuk,kamar mandinya sempit.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,"Nyaman, kamar luas, fasilitas lengkap, tp kamar mandi agak bau dan jam renang yg dibatasi",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"The bed is too soft which cause back pain.  We suggest for Airy to change the bed with better quality.  Other than the bed issue,  the place is great. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"sayangnya handuk kasar dan toilet terkadang bau
snack kamar tidak ready",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,The first room not ready. Than second room shower broke.. than third room shower it’s so bad.. but reseptionis good lah.. hmmm air conditioner not cold.. so so la.. but untuk harga cheaper .. lumayan buat tidur but kamar mandi please tolong di perbaiki.. itu better karena kita mau bersih” badan butuh air yg mengalir lancar.. thankyou,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,kotor dan bau kurang sedap dari toilet,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,Kamar mandi aja yang perlu ditingkatkan lagi kebersihannya ...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"temboknya kotor, kamar kurang bersih. Makanan kurang rasa. Agak horor lingkungannya.",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"asep rokok dari kamar sebelah masuk kedalam, suaranya nya nembus, uda gitu airnya mati jadinya susah mau BAB n mandinya.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,beda foto dengan aslinya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,"hotel dengan perlengkapan kamar yg lengkap standar airy, tapi kamar sempit, front office harus lebih ramah lagi, kamar tidak dibersihkan padahal saya menginap untuk 2 malam ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,"toiletnya kotor, waktu itu sy sampai dihotel jam 13:15, utk check in hrs mnggu jam 2, trus ga berapa lama mas'nya bilang hrs nggu stengah jam lg. klo mau early check in hrs bayar 50rb padahal kamar jg sdh ready... karena sdh capek perjalanan akhirnya bayar 50rb. baru kali ini dpt pngalaman kurng mnyenangkn dari hotel airy... next ga ke hotel ini lg...",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,"kualitas ok, fasilitas sesuai, dekat mini market, kamar kurang bersih (semut)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,"kurang senyum, selebihnya baik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,"kamar kotor lantai bedebu, sarung bantal bau, wifi gabisa, ac ga dingin.. kurang recomended..",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,"Saat lampu mati, pihak hotel tidak menyediakan genset buat cadangan. Dan dua kali hotel mati lampu, serta waktu nya lumayan lama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,kurang memadai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,"Dear Airy Team,  Saya mempunya kendala dan tidak bisa merekomendasikan Airy Hotel kepada semua orang.   Oleh karena ada bencana alam gempa di Lombok dan situasi yang masih siaga (info resmi dari pemerintah), saya tidak bisa ke lombok apalagi menginap di Airy Hotel Lombok Tengah. Saya sudah mengajukan refund dengan cara email dan telepon kepada pihak Traveloka sebagai media saya untuk memesan hotel Airy ini dan kepada Airy Customer Service Pusat sesuai dengan nomor kontak di invoice pemesanan hotel, serta kepada pihak hotel langsung.  Dari pihak Traveloka sangat mendukung customer untuk pengajuan refund apabila dari dari pihak hotel sudah menyetujui refund. Namun saya kecewa dari pihak Airy dan pihak hotel yang tetap mementingkan kondisi di hotel saja, yang menyatakan kodisi hotel sangat baik dan tidak terkena dampak gempa. Dengan alasan tersebut, pihak airy dan hotel tidak menyetujui pengajuan refund. Mulai dari 2 minggu sebelum saya mengajukan refund, saya diminta untuk konfirmasi kembali sendiri ke hotel H-1 bahkan Hari H check in untuktanya kondisi hotel, apabila kondisi hotel baik2 saja, maka pengajuan refund tidak akan disetujui. Namun saat saya konfirmasi ke hotel H-1 malah dibilang seharusnya tidak mengajukan refund H-1. Demikian tidak konsisten antara pihak Airy customer service pusat dengan pihak hotel.  Menurut saya, pihak airy dan hotel sangat tidak memprioritaskan kepentingan kemanan dan keselamatan dari calon customernya. Dan tidak mau berpikir dan berpandangan luas bahwa customer yang akan menginap di hotel, tentu pasti ingin berlibur dan memakai transportasi dari bandara dan di lombok sendiri. Pihak Airy dan hotel hanya mementingkan kondisi hotel, bukan kondisi customer yang berharap ingin berlibur di lombok. Apakah pihak Airy dan hotel tetap berharap customer datang dan check in saat kondisi di Lombok sedang siaga meskipun tidak disarankan oleh pemerintah untuk datang ke Lombok?  Saya sangat menghargai hotel2 lainnya tempat saya pesan di hari2 lainnya, yang bersedia memberikan refund bahkan sudah mentransfer dana 100% ke rekening saya saat ini meskipun di invoice tertulis noncancelable, namun mereka mengerti karena ini bukan kemauan customer tapi karena bencana alam gempa yang sudah merenggut korban 436 orang. Sayangnya pihak Airy dan hotel masih merekomendasikan customer untuk check in dan tidak mempedulikan keadaan customer bagaimana transportasi mulai dari bandara dan di lombok serta tempat wisata yang belum aman untuk wisatawan berlibur, hanya bisa menjamin kondisi hotel yang masih baik.   Demikian informasi dari saya untuk memberikan kritik dan saran kepada Airy agar ke depannya bisa memberikan pelayanan yang baik dan tidak mengecewakan serta merugikan customer ke depannya seperti saya dan kawan2 melalui pengalaman saya ini.  Terima kasih.  Best Regards,  Rita Wijaya  Get Outlook for Android",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,tempatny kotor..,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,A good hotel for backpacking. I was here for 3 days. In the last day wifi connection was lost and it was troublesome because it was hard to get mobile signal. The room was clean but the toilet’s odor was unpleasant. Please consider to put naphthalene ball or spray inside. Thank you!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,"staff tidak ramah, kamar bnyk nyamuk, air mati, ac tdk dingin.  masih ada perkakas tamu sblmnya yg tdk dibersihkan dg detail",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
86,"acces keluar hotel cuma 1 jalur, dan itu pun di kunci manual, lewat jam 12 sudah tidak bisa keluar lagi",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,tempat udah lama dan kotor banyak nyamuk.. gayung pun patah ga bsa buat mandi.. udab kaya film2 horor.. suasana nya.. pokok nya poll deh abis tu lu nonton film horor deh.. pas,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,lumayan. cuma kamar dikit kurang bersih,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"the bathroom was dirty and the hot water didn't come out. what Traveloka shows is not in accordance with reality, such as the form of a building for example",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,wcnya kurang bersih,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"Kamar mandi kotor, tidak ada air hangat, kamar berbau",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"sangat nyaman sekali, dan pelayanan memuaskan, tapi sayang, snack gaada, perlengkapan mandi bukan dari airy, dan gaada tambahan bantal airy deh, harusnya sangat baik, sory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
93,"Foto yang di ulasan sangat tidak sesuai dengan keadaan.sangat jelek,kumuh.kami pun ngk jadi nginep langsung check out aja.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,"lumayan nyaman hanya tidak ada parkiran, kamar mandinya kurang terawat, dan tidak disediakan snack khas airy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
