,review,labels
26,Terlalu ketat penjagaan udah kayak tahanan penjara kamar mandi kotor tmpt ny tidak nyaman sekali ,['kebersihan_inroom_P1']
27,kami tidak mendapatkan kamar pesanan airy,['tidak_sesuai_pesanan']
28,"Tanggal 11-12 saya dengan 7 org teman menginap di sini, booking 4 kamar Kesan pertama nyamaan, senang karna dengan harga yg cukup terjangkau saya dapat fasilitas yg cukup, akan tetapi hal yg tidak diinginkan terjadi, saya dan beberapa rekan saya, kehilangan uang total kurang lebih 1000.000, kehilangan terjadi di 2 kamar, kamar 206 dan 214, jam 8 pagi hari tgl 12 kita keluar untuk menghadiri akhad, jam 11 kita balik lg cuman belum sadar kalau uangnya hilang, baru sadar waktu sudah checkout.. Sudah komplain dan dari pihak kami tidak ingin memperpanjang.. Dan yg sangat di sayangkan tidak adanya CCTV di hotel Pia cirebon..",['service_security']
29,"kamar nya bau, satpam nya kasar, resepsionisnya tidak ramah, wifi nya tidak connect","['service_security', 'bau_P1', 'service_front_office', 'wifi_P1']"
30,"tv, ac, toilet tidak memadai. sprei tempat tidur tidak bersih. ","['kebersihan', 'ac_P1', 'linen_P1', 'service_house_keeping', 'tv_P1']"
31,Seprei kasur kotor banyak rambut. Gak bersih Siaran TV jelek sekali banyak semut. Sikat gigi dan odol dua tapi handuk cuma satu.. ,"['tv_P1', 'linen_P1', 'handuk_P1']"
32,pemilik tidak memberikan kenyamanan... pagi2 sudah teriak2... pelayanannya kaku...,['service']
33,"staf kurang ramah,tempat kurang rapi,waktu saya nginap ada tamu lain berantem dihotel,tp pihak hotel diam aja,mrka berantem diaamping kaar saya,teriak kencang2 sehingga saya ngga nyaman,akhir sayan cuma stngah hari disana","['service', 'bising']"
34,"wifinya ga bisa, kamar ok pelayanan ok",['wifi_P1']
35,snack kamar tidak tersedia saat saya menginap,['sunrise_meal_P1']
36,"toiletnya kurang bersih,bau","['kebersihan_inroom_P1', 'bau_P1']"
37,"Sy sdh beli tiket ke lombok, namun bbrp hari sblm berangkat di bln agustus, lombok terkena gempa bbrp kali dan pemerintah masih menetapkan status ""siaga"" sampai hari sy akan berangkat. Krn itu, sy membatalkan keberangkatan dan meminta refund hotel. Utk hotel lain pun sy melakukan hal yg sama, walaupun di kebijakan pemesanannya hotel tdk dpt di batalkan, namun krn gempa bumi, uang dpt di hotel tsb dpt di refund 100% dan prosesnya tdk bertele-tele.  Di Airy, prosesnya bertele-tele, dan uang kami tdk bs dikembalikan dgn alasan bangunan hotel msh berdiri kokoh stlh gempa sblmnya. Dan ternyata 2 hari stlhnya lombok kembali gempa 2x. Sy sgt kecewa dgn pelayanan & solusi dr hotel atas masalah ini. Pemerintah menetapkan status ""siaga"" namun pihak hotel tdk menghiraukan. Not recommended hotel",['airy_internal']
38,"kamarnya bersih! fasilitas dlm kmr lengkap, kmr selalu dibersihkan, bisa late check in pula. dekat penginapan ada beberapa pilihan kuliner. namun sayang dpt kmr lt. atas saat lift tdk beroperasi, & AC kmr bocor, airnya merembes ke tirai hingga menetes ke lantai kmr, tempat sampah hanya 1, & langit2 kmr mandi bolong (jd agak insecure hehe)","['ac_P1', 'fasilitas_non_inroom', 'fisik_bangunan']"
39,"Tidak sesuai dengan yang di foto. Tidk rekomendasi, tidak seperti airy di tempat lainnya.",['overall']
40,Ada kecoa di lantai kamar :(,['serangga']
41,"kamar mandinya licin :( lantainya gak bersih lagi , AC nya berisik banget :( ","['kebersihan_inroom_P1', 'ac_P1']"
42,murah dan dekat dr mana saja. namun kasurnya ternyata sudah rapuh. ,['fasilitas_inroom']
43,The location was good but litle bit dirty in my room..,['kebersihan_inroom_P1']
44,"cukup nyaman, sesuai dg harganya. tapi sayang.... selimutnya kurang bersih/agak bau ",['linen_P1']
45,"Fasilitas ya kurang...misal ya kaca hias gak ada, sabun mandi tdk tersedia kurang tersedia ya minuman mineral..","['perlengkapan_mandi_P1', 'fasilitas_inroom', 'air_minum_P1']"
46,cukup bersih tapu seharusnya tidak ada bau asap rokok di kamar,"['service_house_keeping', 'bau_P1']"
47,"Murah sih murah, tapi kamar mandinya aja lampunya rusak. Tidak menyala. ",['kebersihan']
48,"Toilet kotor...area pantry kotor, air keluar kecil..","['kebersihan_inroom_P1', 'kebersihan_non_inroom', 'fasilitas_inroom']"
49,"untuk harga minimalis cocok la, cuma lantai lengket, kasur lembab, pintu kmr mandi dan lemari rusak dikit. air hangatny pas pagi mati. overall oke","['rusak', 'kebersihan_inroom_P1']"
50,"Lokasi hotel sangat strategis, dekat dengan tempat makan. Namun beberapa hal yang mengecewakan adalah handuk yang disediakan basah (seperti bekas pakai tamu sebelumnya, handuk ini tidak diganti selama saya menginap disana 3 hari), sprei kotor ada banyak semut di tempat tidur. Di kamar mandi dan kamar tidur banyak semut. Pada hari kedua pagi saya minta petugas untuk membersihkan kamar, tapi tidak dibersihkan. Sore hari saat saya ke kamar ada banyak semut dan telur2 semut, saya meminta bantuan petugas untuk membersihkan tapi tidak direspon malah saya disuruh membersihkan kamar sendiri dan diberi aerosol. Pelayanan sangat tidak memuaskan.","['service_house_keeping', 'linen_P1', 'handuk_P1', 'serangga']"
51,"Resepsionis yang rambutnya di cat putih payah, ngga ada senyum sama sekali ",['service_front_office']
52,Tempatnya bagus.. Deket dari mana aj.. tapi alamat yg dicantumkan salah.. harusnya diberikan patokan yg lebih jelas..,['lokasi']
53,"AC nya kurang dingin
",['ac_P1']
54,AC nya panas. Kamarnya kurang nyaman juga,['ac_P1']
55,ac nya bocor... hrs pake deposit 50rb.. kamar jd becek.. selimutnya tipis bngt.. ttg tmpt si boleh lah...strategis.. ,"['ac_P1', 'fasilitas_inroom']"
56,"sprei bercak2 hitam, gatal2, banyak semut, sedang mandi air mati, sayang saya lupa tidak mengambil fotonya. ","['linen_P1', 'fasilitas_inroom']"
57,Kasurnya seperti tidak dibersihkan,['kebersihan_inroom_P1']
58,"ac di kamar kurang dingin walaupun sudah 16°c, dan sprei nya gatal .. kurang bersih","['linen_P1', 'ac_P1']"
59,"saya tidak nginap di sini stelah sy bayar.  sangat mengecewakan bahwa sy datang ke sana dn tidak ada pihak hotel yg merespon, sy sudah bayar. !! ",['service_front_office']
60,"ac tidak dingin, remote tv sedikit rusak, wifi sinyal jelek","['rusak', 'ac_P1', 'wifi_P1']"
61,"Tempatnya bagus, bersih, nyaman, petugas n ownernya ramah... Kamar seperti di gambar... Cuma sayangnya banyak nyamuk... ",['serangga']
62,Ac nya rusak n kurang dingin ampe 3 x pindah. ,['ac_P1']
63,"positif: Lokasi strategis.. dari semua airy hotel yang pernah saya kunjungi.. cuma disini kamar tidur dibersihkan setiap hari.. handuk di ganti setiap hari.. camilan, air minum dan perlengkapan mandi dikasih setiap hari, jadi selama 3 hari disana saya dapat cemilan, air minum, perlengkapan mandi 3 set.. petugas ramah.. lokasi strategis.. di sekitar hotel juga banyak yang jual makanan.. overall oke banget buat harga segitu.. kebersihan memang benar2 dijaga.. recommended banget deh..  negatif: krn ga ada lift, jadi harus naik tangga.. waktu pertama kali datang, saya angkut tas ransel dan koper sendiri ke lantai 3.. padahal petugasnya melihat saya terengah2 berhenti di setiap tangga per lantai krn keberatan angkut barang tapi tetap ga dibantuin.. air panas nya ga hidup.. di area meja ga ada lampu.. jadi mau kerja juga ga bisa karena agak gelap..","['air_panas_P1', 'service']"
64,"pelayanan baik. fasilitas baik. 
cuma ac kurang dingin.",['ac_P1']
65,"Hotelnya tidak sesuai dengan foto,banyak nyamuk,kamar mandinya sempit.",['serangga']
66,"Nyaman, kamar luas, fasilitas lengkap, tp kamar mandi agak bau dan jam renang yg dibatasi","['bau_P1', 'fasilitas']"
67,"The bed is too soft which cause back pain.  We suggest for Airy to change the bed with better quality.  Other than the bed issue,  the place is great. ",['fasilitas_inroom']
68,"sayangnya handuk kasar dan toilet terkadang bau
snack kamar tidak ready","['sunrise_meal_P1', 'bau_P1']"
69,The first room not ready. Than second room shower broke.. than third room shower it’s so bad.. but reseptionis good lah.. hmmm air conditioner not cold.. so so la.. but untuk harga cheaper .. lumayan buat tidur but kamar mandi please tolong di perbaiki.. itu better karena kita mau bersih” badan butuh air yg mengalir lancar.. thankyou,"['rusak', 'fasilitas']"
70,kotor dan bau kurang sedap dari toilet,"['bau_P1', 'service_house_keeping', 'kebersihan']"
71,Kamar mandi aja yang perlu ditingkatkan lagi kebersihannya ...,['kebersihan_inroom_P1']
72,"temboknya kotor, kamar kurang bersih. Makanan kurang rasa. Agak horor lingkungannya.","['kebersihan_inroom_P1', 'fisik_bangunan', 'breakfast']"
73,"asep rokok dari kamar sebelah masuk kedalam, suaranya nya nembus, uda gitu airnya mati jadinya susah mau BAB n mandinya.","['fasilitas_inroom', 'fisik_bangunan']"
74,beda foto dengan aslinya,['marketing_false']
75,"hotel dengan perlengkapan kamar yg lengkap standar airy, tapi kamar sempit, front office harus lebih ramah lagi, kamar tidak dibersihkan padahal saya menginap untuk 2 malam ",['service_house_keeping']
76,"toiletnya kotor, waktu itu sy sampai dihotel jam 13:15, utk check in hrs mnggu jam 2, trus ga berapa lama mas'nya bilang hrs nggu stengah jam lg. klo mau early check in hrs bayar 50rb padahal kamar jg sdh ready... karena sdh capek perjalanan akhirnya bayar 50rb. baru kali ini dpt pngalaman kurng mnyenangkn dari hotel airy... next ga ke hotel ini lg...","['service_front_office', 'kebersihan_inroom_P1']"
77,"kualitas ok, fasilitas sesuai, dekat mini market, kamar kurang bersih (semut)",['serangga']
78,"kurang senyum, selebihnya baik",['service']
79,"kamar kotor lantai bedebu, sarung bantal bau, wifi gabisa, ac ga dingin.. kurang recomended..","['kebersihan_inroom_P1', 'bau_P1', 'wifi_P1', 'ac_P1']"
80,"Saat lampu mati, pihak hotel tidak menyediakan genset buat cadangan. Dan dua kali hotel mati lampu, serta waktu nya lumayan lama",['fasilitas']
81,kurang memadai,['overall']
82,"Dear Airy Team,  Saya mempunya kendala dan tidak bisa merekomendasikan Airy Hotel kepada semua orang.   Oleh karena ada bencana alam gempa di Lombok dan situasi yang masih siaga (info resmi dari pemerintah), saya tidak bisa ke lombok apalagi menginap di Airy Hotel Lombok Tengah. Saya sudah mengajukan refund dengan cara email dan telepon kepada pihak Traveloka sebagai media saya untuk memesan hotel Airy ini dan kepada Airy Customer Service Pusat sesuai dengan nomor kontak di invoice pemesanan hotel, serta kepada pihak hotel langsung.  Dari pihak Traveloka sangat mendukung customer untuk pengajuan refund apabila dari dari pihak hotel sudah menyetujui refund. Namun saya kecewa dari pihak Airy dan pihak hotel yang tetap mementingkan kondisi di hotel saja, yang menyatakan kodisi hotel sangat baik dan tidak terkena dampak gempa. Dengan alasan tersebut, pihak airy dan hotel tidak menyetujui pengajuan refund. Mulai dari 2 minggu sebelum saya mengajukan refund, saya diminta untuk konfirmasi kembali sendiri ke hotel H-1 bahkan Hari H check in untuktanya kondisi hotel, apabila kondisi hotel baik2 saja, maka pengajuan refund tidak akan disetujui. Namun saat saya konfirmasi ke hotel H-1 malah dibilang seharusnya tidak mengajukan refund H-1. Demikian tidak konsisten antara pihak Airy customer service pusat dengan pihak hotel.  Menurut saya, pihak airy dan hotel sangat tidak memprioritaskan kepentingan kemanan dan keselamatan dari calon customernya. Dan tidak mau berpikir dan berpandangan luas bahwa customer yang akan menginap di hotel, tentu pasti ingin berlibur dan memakai transportasi dari bandara dan di lombok sendiri. Pihak Airy dan hotel hanya mementingkan kondisi hotel, bukan kondisi customer yang berharap ingin berlibur di lombok. Apakah pihak Airy dan hotel tetap berharap customer datang dan check in saat kondisi di Lombok sedang siaga meskipun tidak disarankan oleh pemerintah untuk datang ke Lombok?  Saya sangat menghargai hotel2 lainnya tempat saya pesan di hari2 lainnya, yang bersedia memberikan refund bahkan sudah mentransfer dana 100% ke rekening saya saat ini meskipun di invoice tertulis noncancelable, namun mereka mengerti karena ini bukan kemauan customer tapi karena bencana alam gempa yang sudah merenggut korban 436 orang. Sayangnya pihak Airy dan hotel masih merekomendasikan customer untuk check in dan tidak mempedulikan keadaan customer bagaimana transportasi mulai dari bandara dan di lombok serta tempat wisata yang belum aman untuk wisatawan berlibur, hanya bisa menjamin kondisi hotel yang masih baik.   Demikian informasi dari saya untuk memberikan kritik dan saran kepada Airy agar ke depannya bisa memberikan pelayanan yang baik dan tidak mengecewakan serta merugikan customer ke depannya seperti saya dan kawan2 melalui pengalaman saya ini.  Terima kasih.  Best Regards,  Rita Wijaya  Get Outlook for Android",['airy_internal']
83,tempatny kotor..,['kebersihan']
84,A good hotel for backpacking. I was here for 3 days. In the last day wifi connection was lost and it was troublesome because it was hard to get mobile signal. The room was clean but the toilet’s odor was unpleasant. Please consider to put naphthalene ball or spray inside. Thank you!,"['wifi_P1', 'bau_P1']"
85,"staff tidak ramah, kamar bnyk nyamuk, air mati, ac tdk dingin.  masih ada perkakas tamu sblmnya yg tdk dibersihkan dg detail","['service', 'kebersihan_inroom_P1', 'fasilitas_inroom', 'serangga', 'ac_P1']"
86,"acces keluar hotel cuma 1 jalur, dan itu pun di kunci manual, lewat jam 12 sudah tidak bisa keluar lagi",['fasilitas']
87,tempat udah lama dan kotor banyak nyamuk.. gayung pun patah ga bsa buat mandi.. udab kaya film2 horor.. suasana nya.. pokok nya poll deh abis tu lu nonton film horor deh.. pas,"['service_house_keeping', 'fasilitas_inroom', 'kebersihan']"
88,lumayan. cuma kamar dikit kurang bersih,['kebersihan_inroom_P1']
89,"the bathroom was dirty and the hot water didn't come out. what Traveloka shows is not in accordance with reality, such as the form of a building for example","['kebersihan_inroom_P1', 'air_panas_P1']"
90,wcnya kurang bersih,['kebersihan_inroom_P1']
91,"Kamar mandi kotor, tidak ada air hangat, kamar berbau","['bau_P1', 'air_panas_P1', 'kebersihan_inroom_P1']"
92,"sangat nyaman sekali, dan pelayanan memuaskan, tapi sayang, snack gaada, perlengkapan mandi bukan dari airy, dan gaada tambahan bantal airy deh, harusnya sangat baik, sory","['perlengkapan_mandi_P1', 'sunrise_meal_P1']"
93,"Foto yang di ulasan sangat tidak sesuai dengan keadaan.sangat jelek,kumuh.kami pun ngk jadi nginep langsung check out aja.",['marketing_false']
94,"lumayan nyaman hanya tidak ada parkiran, kamar mandinya kurang terawat, dan tidak disediakan snack khas airy",['sunrise_meal_P1']
95,penginapan berada di dalam gang sempit dan sangat susah mencari penginapan tersebut,['lokasi']
96,"di kasih handuk bekas, yg sangat basah. tidak ada keset kamar mandi dan air semprotan wc bocor","['handuk_P1', 'fasilitas_inroom', 'rusak']"
97,Wifi tidak ada,['wifi_P1']
98,"Luas kamar tertera 20 m2 kenyataannya gk sampe, dan ac kurang dingin, subuh kebangun karena gerah",['ac_P1']
99,"Tempat horor banget... Kotor.. Kamar mandi kotor, air banyak cu.. Alias kotor.. Tembok mohon di cat ulang.. Ahh pokoknya harus banyak yg diperbaiki sih.. Dari kamar, ke bersihan Lantai, ac, toilet, Tempat tidur.. ","['service_house_keeping', 'ac_P1', 'kebersihan', 'fisik_bangunan']"
100,"nyaman pelayanan ok cman box airy yg berisikam snack kosong
",['sunrise_meal_P1']
101,"kurang bersih, pelayanan agak lambat","['kebersihan_inroom_P1', 'service']"
102,"bersih, nyaman, dapet snack gratis. cm TV banyak semutnya",['tv_P1']
103,"Fasilitas kurang memuaskan...saluran televisi cm ada 3 saluran, AC kurang dingin. Karna kurang memuaskan saya jam 5 sore sudah cek out, masuk jam 2 siang keluar jam 5 sore.",['ac_P1']
104,"barang tertinggal di kamar, balik di cek ga ada lagi. OB nya patut di pertanyakan",['service_security']
105,Kamarnya bagus tapi pelayanannya tidak menyenangkan,['service']
106,handuk mandi tidak ada..cman dapet sarapan.. so far..ok lah,['handuk_P1']
107,"Generally good, my room the air conditioner was not work properly so the room temperature feel warm can not cool",['ac_P1']
108,"Air panas lama banget keluarnya, air dingin lebih dominan. Lebih sering air panas tidak keluar. AC kamar sering mati sendiri dan kurang dingin lokasi hotel strategis, untuk sarapan paginya enak.","['air_panas_P1', 'ac_P1']"
109,"1. Saat booking 1 kamar twin bed stlh dtg utk check in persediaan kmr utk twin bed hbs, hrs negosiasi dulu yg cukup lama akhrnya dpt tp kamar yg paling jauh. 2. Shower kamar mandi kurang nyaman dipakai. 3. Mau pinjam hair dryer ga pernah ada.",['fasilitas_inroom']
110,"tapi sayang ya pintu kamar mandinya rusak, pembuangan airnya bermasalah
selainnya baik 😊","['rusak', 'fasilitas_inroom']"
111,"perlengkapan tdr dekil,,bau,,ga nyaman banget buat tdr.. TOLONG DIPERHATIKAN",['bau_P1']
112,"1. kamar yang pertama kurang memuaskan banyak nyamuk,bau dan pengap, pindah 1 agak lumayan, pindah yg kedua lumayan
2. untuk sarapan pagi lumayan sesuailah dengan harga
3. untuk pelayanan bagus
saran : semoga kedepannya lebih baik lagi dan banyak yg menginap disini (Airy ECO Gatot Subroto) 
terimakasih","['serangga', 'bau_P1']"
113,kamar murang beraih dan kamar mandi licin sehingga terpeleset 2 kali...terima.kasih,['kebersihan_inroom_P1']
114,"selimut agak kotor, hot shower mati/rusak, fasilitas kamar mandi sudah tidak baik, pipa bawah wastafel bocor ","['rusak', 'fasilitas_inroom', 'linen_P1']"
115,bagus. tapi sayang gak ada lift nya. ,['fasilitas_non_inroom']
116,"AC-nya mati, TVnya gambarnya tidak jelas.","['tv_P1', 'ac_P1']"
117,"seharusnya dapat kamar yang twin tapi malah dikasih yang biasa,  bilangnya penuh tau nya banyak yg kosong!  kecewa dibohongi. gak recomen banget!!! ",['tidak_sesuai_pesanan']
118,"Lokasi sebenarnya strategis, kamar kecil terus AC-nya ribut, TV masih pake antena dalam bantalnya masih bau waktu saya kesana. Kamar kecil juga sempit.",['bau_P1']
119,"pelayanan yang mengecewakan,sudah boking psgi malam kesana kamar belom disiapkan tidak ada makanan ataupun perlengkapan toilet seperti diketerangan tv yg tidak bisa ditonton,bahkan masih ada sampah dibawah tempat tidur ada lagi bekas alat kontrasepsi dilemari ","['fasilitas_inroom', 'sunrise_meal_P1']"
120,"kamar menyenangkan karna strategis dengan pusat kota, tapi koneksi wifi buruk",['wifi_P1']
121,"Karyawan Hotel terlalu berisik, pesanan saya airy. Tetapi fasilitas seperti snack, toiletres tidak saya dapatkan. ","['sunrise_meal_P1', 'bising', 'perlengkapan_mandi_P1']"
122,"Pelayanan kurang memuaskan, dan kunci pintu sudah untuk dikunci.","['service', 'fisik_bangunan']"
123,cuma air kurang lancar dan ac kurang dingin,"['ac_P1', 'fasilitas']"
124,"nilai 90 dr 100. minus kmrn dpt anduk bau sangit, untung bw anduk sendiri. overall sangat puas. kalo ke jogja butuh penginapan mau ke sini aja lg.  *****",['handuk_P1']
125,"televisi kabur, colokan cuman satu dan posisinya dibelakang kasur (susah dijangkau), kamar mandi tidak ada ember nya","['fasilitas_inroom', 'tv_P1']"
126,"Ngeri suasananya kasurnya juga keras, pokoknya tidak enak.",['fasilitas_inroom']
127,"Disana nginap 3 hari tp hari ke 3 baru dibersihin kamarnya itupun harus kami yg minta sampe bebrapa kali, belom lagi dengan pelayanan orang yg kerja jauh dari standart kebersihan klu diperhatian dari sarung bantal, badcover, terutama handuk sangat kurang baik. Mohon untuk perbaikan kinerja kariawan untuk kelangsungan usaha anda... Trimakasih ","['linen_P1', 'handuk_P1', 'service_house_keeping']"
128,"Baik semua nya, tapi ac kurang dingin",['ac_P1']
129,"Pelayanan luar biasa baik, sangat aware dan care dengan pelanggan. Parkir luas, design bangunan menarik, design ruang makan yang menarik dan unik.
Ruang kamar mandi sekaligus toilet terlalu sempit sehingga kurang leluasa untuk mandi serta air panas yang tidak setiap saat, adakalanya tidak mendapatkan air panas untuk mandi.
Kondisi tirai dan jendela",['air_panas_P1']
130,"Tidak ada air mineral free, tidak ada wifi dan shower tidak ada air panas ","['wifi_P1', 'air_panas_P1', 'air_minum_P1']"
131,"Air hangat kurang, kamar jg kurang bersih",['kebersihan_inroom_P1']
132,"staf kurang responsif, hanya sekedar minta air panas secangkir untuk ngopi ja nggu sehari. tempatnya masuk gang sempit harga.  tempat kurang bersih ","['service', 'kebersihan']"
133,"One of the worst hotels, smelly room, dripping water from the ceiling in bathroom,didnt like the staff also, unfriendly.","['bau_P1', 'fisik_bangunan', 'service']"
134,"My staying room which is room number 007 was next to puddles. The AC was actually working well, but we couldn't sleep at all because there were too many mosquitoes that had bitten me and my partner to die 😱😱🐜. ",['serangga']
135,"lokasinya susah banget ditemuin, untuk kamarnya sih standar karna sesuai budget. cuman kemaren lampu toiletnya tiba2 mati. Bisa check in tengah malem. Tapi menurutku sih ini bukan hotel atau homestay tapi rasa kos kosan.",['lokasi']
136,kurang bersih,['kebersihan']
137,Kotor,['kebersihan']
138,"Room facilities too bad, No Tisue No Soap Towel Only 1 given although I did mention 2 people staying","['fasilitas_inroom', 'handuk_P1', 'perlengkapan_mandi_P1']"
139,"tempatnya kecil,kamar mandinya bau,banyak sabang..",['bau_P1']
140,service pelayannya kurang bagus,['service']
141,tidak ada keset atau alas kaki ,['fasilitas_inroom']
142,Receptionis tidak standby dan harus telpon dulu dan harus minta kamar di beresin . Wifi rusak,"['service_front_office', 'wifi_P1']"
143,"SANGAT TIDAK MEMUASKAN!!! Kamar penuh nyamuk,minta obat nyamuk semprot saja tidak ada.dinding penuh dengan nyamuk mati.dalam semalam bisa membuh 20 nyamuk.kamar mandi juga kotor","['kebersihan_inroom_P1', 'serangga']"
144,KASUR KERAS WIFI MATI AIR PANAS MATI,"['fasilitas_inroom', 'air_panas_P1', 'wifi_P1']"
145,Tembok ny basah lembab cleaning service ny judes.. sy nginap 7hari padahal,['service_house_keeping']
146,kamarnya kurang bersih,['kebersihan_inroom_P1']
147,"ac tidak dingin, airnya kecil. seharusnya sebelum ada yang booking diperiksa dl","['ac_P1', 'fasilitas']"
148,"Kamar cukup lumayan, Kamar mandi agak kotor ","['service_house_keeping', 'kebersihan']"
149,"seprainya bolong kecil. handuknya agak bau, semua lacinya kotor terutama yg di toilet. ruangan tidak kedap kebetulan ada pasangan berantem jadi cukup heboh. pelayanannya ramah. maklum lah harganya murah. ","['handuk_P1', 'kebersihan_inroom_P1', 'bising', 'linen_P1']"
150,"Kamar yg di belakang resepsionis, ada baiknya jika bisa lebih dibersihkan atau dikasih serap. Karena agak bau apek dan lembab. Sprei juga kurang bersih. Padahal sebelumnya di lantai 2 bersih dan nyaman kamarnya. Sukses y","['linen_P1', 'bau_P1']"
151,sangat jelek ... tidak pantas masuk traveloka ... air asin dan coklat keruh...kamar bau ... saya sangat kecewa ..,"['bau_P1', 'fasilitas']"
152,Tidur kurang nyaman suara warung di luar hotel kedengaran kuat sekali ,['fisik_bangunan']
153,"kamar sudah tua terlihat seperti gedung lama dan tidak banyak pengunjung , air tidak keluar dari keran , di kasur banyak semut dan yang paling engga sesuai adalah foto dengan kondisi asli sangat jauh berbeda dan lagi WC keliatan tidak pernah dibersihkan . bener banyaj yg bilang angker ","['fisik_bangunan', 'service_house_keeping', 'kebersihan', 'fasilitas_inroom']"
154,"awal'y saya pesan yg single. sudah bayar di muka pula. ntah mengapa,pas saya check in. kamar itu ga tersedia. alhasil nambah 40rb,dpt yg double. sedikit kecewa juga.",['tidak_sesuai_pesanan']
155,Tempatnya  Susah ditemukan walaupun terkadang sudah pake google map  ,['lokasi']
